Date,Open,High,Low,Close,Volume,Adjusted Close
2015-11-10,3.096,3.122,3.081,3.094,0.0,3.094
2015-11-09,3.097,3.14,3.085,3.106,0.0,3.106
2015-11-06,2.988,3.099,2.986,3.089,0.0,3.089
2015-11-05,3.016,3.029,2.99,3.013,0.0,3.013
2015-11-04,2.991,3.011,2.971,2.994,0.0,2.994
2015-11-03,2.962,3.007,2.957,3.001,0.0,3.001
2015-11-02,2.947,2.964,2.941,2.957,0.0,2.957
2015-10-30,2.957,2.964,2.926,2.933,0.0,2.933
2015-10-29,2.884,2.97,2.88,2.965,0.0,2.965
2015-10-28,2.857,2.901,2.853,2.863,0.0,2.863
2015-10-27,2.851,2.855,2.828,2.851,0.0,2.851
2015-10-26,2.883,2.884,2.856,2.867,0.0,2.867
2015-10-23,2.903,2.929,2.89,2.896,0.0,2.896
2015-10-22,2.876,2.898,2.834,2.86,0.0,2.86
2015-10-21,2.897,2.899,2.859,2.871,0.0,2.871
2015-10-20,2.91,2.93,2.908,2.923,0.0,2.923
2015-10-19,2.892,2.914,2.872,2.884,0.0,2.884
2015-10-16,2.859,2.873,2.848,2.864,0.0,2.864
2015-10-15,2.852,2.873,2.844,2.873,0.0,2.873
2015-10-14,2.879,2.891,2.838,2.839,0.0,2.839
2015-10-13,2.888,2.91,2.866,2.897,0.0,2.897
2015-10-12,2.921,2.921,2.921,2.921,0.0,2.921
2015-10-09,2.947,2.969,2.915,2.927,0.0,2.927
2015-10-08,2.884,2.948,2.873,2.946,0.0,2.946
2015-10-07,2.905,2.918,2.882,2.886,0.0,2.886
2015-10-06,2.891,2.921,2.869,2.873,0.0,2.873
2015-10-05,2.858,2.902,2.854,2.898,0.0,2.898
2015-10-02,2.857,2.867,2.749,2.826,0.0,2.826
2015-10-01,2.853,2.86,2.82,2.852,0.0,2.852
2015-09-30,2.894,2.895,2.862,2.88,0.0,2.88
2015-09-29,2.898,2.906,2.841,2.855,0.0,2.855
2015-09-28,2.926,2.944,2.864,2.87,0.0,2.87
2015-09-25,2.96,2.978,2.948,2.96,0.0,2.96
2015-09-24,2.902,2.913,2.866,2.902,0.0,2.902
2015-09-23,2.958,2.984,2.935,2.941,0.0,2.941
2015-09-22,2.987,2.987,2.919,2.932,0.0,2.932
2015-09-21,2.973,3.04,2.964,3.035,0.0,3.035
2015-09-18,2.97,2.983,2.928,2.929,0.0,2.929
2015-09-17,3.07,3.085,3.024,3.034,0.0,3.034
2015-09-16,3.056,3.092,3.051,3.092,0.0,3.092
2015-09-15,2.947,3.062,2.943,3.062,0.0,3.062
2015-09-14,2.929,2.964,2.923,2.947,0.0,2.947
2015-09-11,2.959,2.96,2.923,2.943,0.0,2.943
2015-09-10,2.986,2.997,2.958,2.988,0.0,2.988
2015-09-09,2.997,3.038,2.937,2.943,0.0,2.943
2015-09-08,2.924,2.974,2.922,2.97,0.0,2.97
2015-09-04,2.902,2.927,2.879,2.89,0.0,2.89
2015-09-03,2.949,2.978,2.926,2.948,0.0,2.948
2015-09-02,2.92,2.965,2.917,2.965,0.0,2.965
2015-09-01,2.909,2.964,2.893,2.932,0.0,2.932
2015-08-31,2.877,2.948,2.861,2.931,0.0,2.931
2015-08-28,2.895,2.921,2.865,2.909,0.0,2.909
2015-08-27,2.924,2.951,2.891,2.902,0.0,2.902
2015-08-26,2.859,2.938,2.849,2.932,0.0,2.932
2015-08-25,2.785,2.858,2.775,2.854,0.0,2.854
2015-08-24,2.676,2.76,2.625,2.718,0.0,2.718
2015-08-21,2.746,2.771,2.72,2.747,0.0,2.747
2015-08-20,2.777,2.795,2.751,2.754,0.0,2.754
2015-08-19,2.85,2.892,2.816,2.819,0.0,2.819
2015-08-18,2.827,2.866,2.825,2.863,0.0,2.863
2015-08-17,2.828,2.829,2.792,2.801,0.0,2.801
2015-08-14,2.837,2.876,2.826,2.841,0.0,2.841
2015-08-13,2.84,2.879,2.822,2.857,0.0,2.857
2015-08-12,2.779,2.822,2.763,2.819,0.0,2.819
2015-08-11,2.847,2.851,2.789,2.805,0.0,2.805
2015-08-10,2.865,2.909,2.859,2.903,0.0,2.903
2015-08-07,2.898,2.916,2.818,2.828,0.0,2.828
2015-08-06,2.95,2.954,2.89,2.907,0.0,2.907
2015-08-05,2.904,2.963,2.895,2.943,0.0,2.943
2015-08-04,2.875,2.89,2.865,2.887,0.0,2.887
2015-08-03,2.907,2.921,2.845,2.861,0.0,2.861
2015-07-31,2.937,2.941,2.895,2.927,0.0,2.927
2015-07-30,3.011,3.016,2.937,2.954,0.0,2.954
2015-07-29,2.992,3.025,2.971,2.988,0.0,2.988
2015-07-28,2.971,2.984,2.954,2.963,0.0,2.963
2015-07-27,2.932,2.956,2.914,2.945,0.0,2.945
2015-07-24,2.974,2.982,2.95,2.97,0.0,2.97
2015-07-23,3.03,3.052,2.972,2.978,0.0,2.978
2015-07-22,3.057,3.074,3.026,3.037,0.0,3.037
2015-07-21,3.135,3.139,3.071,3.08,0.0,3.08
2015-07-20,3.079,3.12,3.079,3.106,0.0,3.106
2015-07-17,3.093,3.109,3.071,3.083,0.0,3.083
2015-07-16,3.153,3.172,3.102,3.115,0.0,3.115
2015-07-15,3.177,3.217,3.129,3.134,0.0,3.134
2015-07-14,3.21,3.219,3.187,3.19,0.0,3.19
2015-07-13,3.219,3.241,3.177,3.207,0.0,3.207
2015-07-10,3.166,3.211,3.162,3.209,0.0,3.209
2015-07-09,3.033,3.105,3.029,3.099,0.0,3.099
