date,SnP,Predicted GD,Predicted NE
201508,2040,2090,2276
201507,2094,2036,2231
201506,2099,2039,2223
201505,2112,2017,2202
201504,2095,2010,2193
201503,2080,2003,2177
201502,2082,1986,2155
201501,2028,1972,2132
201412,2054,1963,2098
201411,2045,1953,2068
201410,1937,1918,2026
201409,1993,1935,2018
201408,1962,1929,2001
201407,1973,1918,1977
201406,1947,1898,1951
201405,1890,1857,1915
201404,1864,1817,1884
201403,1864,1828,1881
201402,1817,1839,1883
201401,1822,1818,1864
201312,1808,1812,1855
201311,1784,1813,1852
201310,1720,1801,1840
201309,1687,1797,1830
201308,1670,1801,1826
201307,1669,1831,1836
201306,1619,1810,1816
201305,1640,1819,1813
201304,1571,1815,1800
201303,1551,1850,1807
201302,1512,1795,1767
201301,1480,1746,1738
201212,1422,1713,1713
201211,1395,1673,1666
201210,1438,1615,1607
201209,1443,1505,1521
201208,1403,1462,1483
201207,1360,1440,1456
201206,1323,1385,1401
201205,1341,1353,1363
201204,1386,1347,1340
201203,1389,1344,1324
201202,1352,1318,1300
201201,1301,1289,1270
201112,1243,1247,1232
201111,1226,1221,1194
201110,1207,1184,1152
201109,1174,1162,1119
201108,1185,1158,1104
201107,1325,1165,1098
201106,1287,1152,1080
201105,1338,1150,1065
201104,1332,1150,1054
201103,1304,1152,1047
201102,1321,1155,1044
201101,1283,1154,1035
201012,1242,1150,1023
201011,1199,1152,1016
201010,1172,1155,1009
201009,1122,1155,999
201008,1087,1156,989
201007,1080,1163,982
201006,1083,1168,974
201005,1125,1179,970
201004,1197,1204,980
201003,1152,1210,981
201002,1089,1224,998
201001,1124,1249,1023
200912,1110,1272,1051
200911,1088,1292,1084
200910,1068,1315,1122
200909,1045,1315,1147
200908,1010,1320,1178
200907,936,1314,1206
200906,926,1316,1238
200905,902,1326,1286
200904,848,1318,1319
200903,757,1291,1339
200902,805,1290,1368
200901,866,1301,1407
200812,878,1290,1430
200811,883,1257,1414
200810,969,1244,1402
200809,1217,1279,1426
200808,1281,1280,1431
200807,1257,1247,1411
200806,1341,1252,1422
200805,1403,1274,1447
200804,1370,1251,1442
200803,1317,1234,1438
200802,1355,1232,1442
200801,1379,1230,1439
200712,1479,1266,1458
200711,1463,1257,1443
200710,1540,1275,1450
200709,1497,1262,1434
200708,1455,1252,1420
200707,1521,1252,1407
200706,1514,1241,1388
200705,1511,1256,1389
200704,1464,1263,1388
200703,1407,1267,1386
200702,1445,1289,1399
200701,1424,1250,1372
200612,1416,1242,1361
200611,1389,1219,1335
200610,1363,1224,1324
200609,1318,1187,1285
200608,1287,1146,1245
200607,1260,1139,1233
200606,1253,1095,1200
200605,1290,1081,1183
200604,1302,1074,1174
200603,1294,1064,1164
200602,1277,1076,1165
200601,1279,1059,1145
200512,1262,1054,1137
200511,1237,1037,1108
200510,1192,1023,1077
200509,1226,1033,1071
200508,1224,999,1048
200507,1222,989,1032
200506,1202,971,1011
200505,1178,948,979
200504,1164,951,964
200503,1195,959,960
200502,1200,934,935
200501,1181,921,915
200412,1199,919,899
200411,1169,899,875
200410,1118,886,860
200409,1118,879,851
200408,1089,865,833
200407,1106,866,824
200406,1133,870,818
200405,1103,872,814
200404,1133,874,811
200403,1124,874,805
200402,1143,882,804
200401,1133,870,791
200312,1081,854,776
200311,1050,841,755
200310,1039,838,741
200309,1019,818,718
200308,990,806,707
200307,993,794,697
200306,988,791,688
200305,936,773,676
200304,890,757,662
200303,847,750,655
200302,838,754,657
200301,896,769,667
200212,899,779,672
200211,910,782,670
200210,855,786,667
200209,868,786,663
200208,913,787,668
200207,904,771,665
200206,1014,809,695
200205,1079,816,699
200204,1112,810,697
200203,1154,823,713
200202,1101,821,725
200201,1140,842,750
200112,1145,833,756
200111,1130,817,753
200110,1077,776,737
200109,1045,750,728
200108,1179,781,758
200107,1204,773,760
200106,1239,786,772
200105,1270,808,797
200104,1190,815,815
200103,1186,795,814
200102,1306,828,841
200101,1336,854,864
200012,1331,869,882
200011,1375,885,891
200010,1390,912,907
200009,1468,966,940
200008,1485,996,965
200007,1473,1014,980
200006,1462,996,973
200005,1418,993,974
200004,1461,1031,999
200003,1442,1028,998
200002,1389,1015,996
200001,1426,1075,1038
199912,1429,1087,1052
199911,1391,1094,1060
199910,1300,1070,1049
199909,1318,1088,1065
199908,1327,1117,1085
199907,1381,1144,1103
199906,1323,1138,1100
199905,1332,1162,1116
199904,1335,1182,1130
199903,1282,1175,1133
199902,1247,1164,1126
199901,1249,1180,1134
199812,1190,1147,1113
199811,1144,1097,1082
199810,1032,1013,1032
199809,1021,990,1017
199808,1075,1011,1025
199807,1157,1069,1056
199806,1108,1020,1023
199805,1108,1011,1011
199804,1112,1007,1002
199803,1077,950,962
199802,1024,901,930
199801,963,858,900
199712,962,863,898
199711,939,847,882
199710,951,848,876
199709,937,842,868
199708,928,840,864
199707,925,845,863
199706,876,808,837
199705,833,783,820
199704,764,741,793
199703,792,753,801
199702,798,771,812
199701,766,761,809
199612,743,750,804
199611,736,756,806
199610,701,741,795
199609,675,714,780
199608,663,700,769
199607,644,683,756
199606,668,702,764
199605,661,686,754
199604,647,678,748
199603,647,672,743
199602,650,657,731
199601,614,614,698
199512,615,627,700
199511,596,597,672
199510,583,571,647
199509,579,558,632
199508,559,535,611
199507,557,539,607
199506,539,521,588
199505,524,506,570
199504,508,491,554
199503,493,493,551
199502,482,509,561
199501,465,554,589
199412,455,562,595
199411,461,595,610
199410,464,623,625
199409,467,626,625
199408,464,619,621
199407,451,591,603
199406,455,603,610
199405,451,618,616
199404,447,633,622
199403,464,651,630
199402,472,669,638
199401,473,656,627
199312,466,635,610
199311,463,635,603
199310,464,621,590
199309,459,612,582
199308,454,603,574
199307,447,609,576
199306,448,611,575
199305,445,614,574
199304,443,622,576
199303,450,638,584
199302,442,623,574
199301,435,628,578
199212,436,644,589
199211,423,637,584
199210,413,615,574
199209,418,636,590
199208,418,637,592
199207,415,619,581
199206,408,605,572
199205,415,637,594
199204,407,618,585
199203,407,613,585
199202,413,633,601
199201,416,646,612
199112,389,623,600
199111,386,606,594
199110,387,547,564
199109,387,493,535
199108,389,473,527
199107,380,476,533
199106,378,475,536
199105,378,481,546
199104,380,473,547
199103,372,450,540
199102,362,443,544
199101,325,416,535
199012,329,442,560
199011,315,421,548
199010,307,418,548
199009,315,426,557
199008,331,439,572
199007,360,486,609
199006,360,476,605
199005,350,467,598
199004,338,442,579
199003,338,439,572
199002,330,445,574
199001,340,472,588
198912,349,476,594
198911,340,469,582
198910,347,494,590
198909,347,486,579
198908,347,459,553
198907,332,412,513
198906,324,396,493
198905,314,381,471
198904,302,370,457
198903,293,360,445
198902,294,364,443
198901,285,377,444
198812,277,382,437
198811,271,367,420
198810,277,376,414
198809,268,353,391
198808,264,356,387
198807,269,413,416
198806,271,416,413
198805,256,383,386
198804,263,398,389
198803,266,415,397
198802,258,414,395
198801,250,386,377
198712,241,389,377
198711,245,405,384
198710,280,467,418
198709,319,549,467
198708,329,600,502
198707,310,567,486
198706,301,561,482
198705,289,553,479
198704,289,581,497
198703,292,608,514
198702,281,600,507
198701,265,569,484
198612,249,545,467
198611,245,528,447
198610,237,515,431
198609,238,542,438
198608,245,605,467
198607,240,573,437
198606,245,562,419
198605,238,490,369
198604,238,467,344
198603,232,451,318
198602,219,371,257
198601,208,310,211
198512,207,266,180
198511,197,230,157
198510,186,200,139
198509,184,185,130
198508,188,140,101
198507,193,128,87
198506,189,87,57
198505,185,58,34
198504,181,30,15
198503,179,23,11
198502,181,37,20
198501,172,-1,-4
198412,164,-21,-18
198411,166,-26,-27
198410,165,-15,-27
198409,166,2,-21
198408,164,20,-14
198407,151,18,-20
198406,153,65,8
198405,157,126,43
198404,158,174,70
198403,157,192,79
198402,157,175,64
198401,166,236,97
198312,164,263,112
198311,165,301,130
198310,168,316,137
198309,167,302,126
198308,162,295,120
198307,167,319,132
198306,166,308,122
198305,164,296,114
198304,158,253,87
198303,152,228,70
198302,147,193,44
198301,144,149,17
198212,139,126,4
198211,138,92,-13
198210,133,10,-59
198209,122,-66,-98
198208,110,-130,-127
198207,109,-133,-119
198206,110,-140,-111
198205,116,-125,-89
198204,116,-120,-72
198203,111,-132,-67
198202,114,-131,-61
198201,117,-123,-49
198112,124,-119,-38
198111,123,-127,-39
198110,120,-129,-37
198109,118,-125,-31
198108,130,-70,9
198107,129,-57,28
198106,132,-15,64
198105,132,9,81
198104,134,35,99
198103,133,28,97
198102,128,11,91
198101,133,22,109
198012,133,31,116
198011,136,65,139
198010,130,62,145
198009,127,49,149
198008,123,51,164
198007,120,36,169
198006,115,14,165
198005,108,-13,161
198004,103,-30,162
198003,105,-8,178
198002,115,46,219
198001,111,68,241
197912,108,102,266
197911,104,92,262
197910,104,110,275
197909,109,147,295
197908,107,143,292
197907,103,107,268
197906,102,109,266
197905,100,117,269
197904,102,156,294
197903,100,162,298
197902,98,184,308
197901,100,239,338
197812,96,270,353
197811,95,253,339
197810,101,304,366
197809,104,342,389
197808,104,307,365
197807,97,277,344
197806,98,249,325
197805,97,260,331
197804,93,247,323
197803,89,230,309
197802,89,248,318
197801,90,247,313
197712,94,267,321
197711,94,250,302
197710,94,234,284
197709,96,251,284
197708,98,261,280
197707,100,266,274
197706,99,268,267
197705,99,263,253
197704,99,260,243
197703,101,261,237
