Date,Value
2015-09-30,42.51
2015-08-31,42.19
2015-07-31,41.87
2015-06-30,41.62
2015-05-31,41.45
2015-04-30,41.35
2015-03-31,41.12
2015-02-28,40.91
2015-01-31,40.62
2014-12-31,39.97
2014-11-30,39.42
2014-10-31,38.89
2014-09-30,38.48
2014-08-31,38.14
2014-07-31,37.7
2014-06-30,37.32
2014-05-31,37.0
2014-04-30,36.75
2014-03-31,36.48
2014-02-28,36.3
2014-01-31,36.01
2013-12-31,35.73
2013-11-30,35.52
2013-10-31,35.25
2013-09-30,34.96
2013-08-31,34.62
2013-07-31,34.27
2013-06-30,33.9
2013-05-31,33.59
2013-04-30,33.25
2013-03-31,32.83
2013-02-28,32.62
2013-01-31,32.58
2012-12-31,32.38
2012-11-30,31.72
2012-10-31,31.01
2012-09-30,30.43
2012-08-31,30.12
2012-07-31,29.85
2012-06-30,29.36
2012-05-31,28.99
2012-04-30,28.62
2012-03-31,28.37
2012-02-29,28.27
2012-01-31,28.06
2011-12-31,27.86
2011-11-30,27.36
2011-10-31,26.9
2011-09-30,26.41
2011-08-31,26.15
2011-07-31,25.93
2011-06-30,25.66
2011-05-31,25.31
2011-04-30,25.11
2011-03-31,24.95
2011-02-28,24.94
2011-01-31,24.81
2010-12-31,24.68
2010-11-30,24.58
2010-10-31,24.46
2010-09-30,24.35
2010-08-31,24.25
2010-07-31,24.17
2010-06-30,24.06
2010-05-31,23.99
2010-04-30,23.96
2010-03-31,23.95
2010-02-28,24.23
2010-01-31,24.42
2009-12-31,24.69
2009-11-30,25.19
2009-10-31,25.76
2009-09-30,26.33
2009-08-31,26.97
2009-07-31,27.66
2009-06-30,28.23
2009-05-31,29.09
2009-04-30,29.79
2009-03-31,30.49
2009-02-28,30.99
2009-01-31,31.57
2008-12-31,32.13
2008-11-30,31.97
2008-10-31,31.53
2008-09-30,31.38
2008-08-31,31.29
2008-07-31,31.11
2008-06-30,31.22
2008-05-31,31.39
2008-04-30,31.5
2008-03-31,31.54
2008-02-29,31.6
2008-01-31,31.48
2007-12-31,31.42
2007-11-30,31.11
2007-10-31,31.01
2007-09-30,30.79
2007-08-31,30.57
2007-07-31,30.2
2007-06-30,29.89
2007-05-31,29.69
2007-04-30,29.61
2007-03-31,29.54
2007-02-28,29.57
2007-01-31,29.49
2006-12-31,29.34
2006-11-30,29.07
2006-10-31,28.72
2006-09-30,28.26
2006-08-31,27.86
2006-07-31,27.66
2006-06-30,27.49
2006-05-31,27.28
2006-04-30,27.16
2006-03-31,27.13
2006-02-28,27.06
2006-01-31,26.88
2005-12-31,26.86
2005-11-30,26.45
2005-10-31,25.94
2005-09-30,25.7
2005-08-31,25.79
2005-07-31,25.7
2005-06-30,25.6
2005-05-31,25.33
2005-04-30,25.02
2005-03-31,24.9
2005-02-28,24.77
2005-01-31,24.58
2004-12-31,24.31
2004-11-30,24.1
2004-10-31,24.0
2004-09-30,24.01
2004-08-31,23.83
2004-07-31,23.6
2004-06-30,23.33
2004-05-31,23.16
2004-04-30,23.06
2004-03-31,22.89
2004-02-29,22.76
2004-01-31,22.61
2003-12-31,22.45
2003-11-30,22.08
2003-10-31,21.68
2003-09-30,21.31
2003-08-31,21.2
2003-07-31,21.1
2003-06-30,20.94
2003-05-31,20.99
2003-04-30,20.98
2003-03-31,20.96
2003-02-28,21.02
2003-01-31,21.12
2002-12-31,21.14
2002-11-30,20.98
2002-10-31,20.86
2002-09-30,20.77
2002-08-31,20.91
2002-07-31,21.08
2002-06-30,21.21
2002-05-31,21.09
2002-04-30,20.95
2002-03-31,20.93
2002-02-28,21.06
2002-01-31,21.14
2001-12-31,21.2
2001-11-30,21.11
2001-10-31,21.07
2001-09-30,21.0
2001-08-31,21.07
2001-07-31,21.05
2001-06-30,20.97
2001-05-31,21.13
2001-04-30,21.36
2001-03-31,21.57
2001-02-28,21.75
2001-01-31,21.98
2000-12-31,22.25
2000-11-30,22.27
2000-10-31,22.32
2000-09-30,22.39
2000-08-31,22.67
2000-07-31,22.84
2000-06-30,23.05
2000-05-31,23.2
2000-04-30,23.26
2000-03-31,23.3
2000-02-29,23.46
2000-01-31,23.56
1999-12-31,23.6
1999-11-30,23.58
1999-10-31,23.57
1999-09-30,23.58
1999-08-31,23.6
1999-07-31,23.57
1999-06-30,23.55
1999-05-31,23.55
1999-04-30,23.55
1999-03-31,23.72
1999-02-28,23.67
1999-01-31,23.58
1998-12-31,23.51
1998-11-30,23.47
1998-10-31,23.45
1998-09-30,23.48
1998-08-31,23.41
1998-07-31,23.35
1998-06-30,23.28
1998-05-31,23.16
1998-04-30,23.05
1998-03-31,22.95
1998-02-28,22.92
1998-01-31,22.89
1997-12-31,22.86
1997-11-30,22.75
1997-10-31,22.66
1997-09-30,22.63
1997-08-31,22.6
1997-07-31,22.56
1997-06-30,22.5
1997-05-31,22.48
1997-04-30,22.42
1997-03-31,22.4
1997-02-28,22.37
1997-01-31,22.36
1996-12-31,22.35
1996-11-30,22.24
1996-10-31,22.16
1996-09-30,22.11
1996-08-31,21.98
1996-07-31,21.83
1996-06-30,21.67
1996-05-31,21.6
1996-04-30,21.56
1996-03-31,21.55
1996-02-29,21.5
1996-01-31,21.41
1995-12-31,21.37
1995-11-30,21.25
1995-10-31,21.13
1995-09-30,21.08
1995-08-31,21.01
1995-07-31,20.96
1995-06-30,20.85
1995-05-31,20.79
1995-04-30,20.73
1995-03-31,20.7
1995-02-28,20.77
1995-01-31,20.85
1994-12-31,20.93
1994-11-30,20.8
1994-10-31,20.7
1994-09-30,20.58
1994-08-31,20.59
1994-07-31,20.63
1994-06-30,20.64
1994-05-31,20.64
1994-04-30,20.58
1994-03-31,20.54
1994-02-28,20.54
1994-01-31,20.54
1993-12-31,20.53
1993-11-30,20.49
1993-10-31,20.48
1993-09-30,20.53
1993-08-31,20.57
1993-07-31,20.63
1993-06-30,20.64
1993-05-31,20.64
1993-04-30,20.64
1993-03-31,20.68
1993-02-28,20.7
1993-01-31,20.72
1992-12-31,20.77
1992-11-30,20.76
1992-10-31,20.79
1992-09-30,20.87
1992-08-31,20.89
1992-07-31,20.91
1992-06-30,20.91
1992-05-31,20.99
1992-04-30,21.02
1992-03-31,21.05
1992-02-29,21.09
1992-01-31,21.1
1991-12-31,21.06
1991-11-30,21.11
1991-10-31,21.22
1991-09-30,21.29
1991-08-31,21.31
1991-07-31,21.3
1991-06-30,21.25
1991-05-31,21.29
1991-04-30,21.33
1991-03-31,21.34
1991-02-28,21.36
1991-01-31,21.38
1990-12-31,21.49
1990-11-30,21.34
1990-10-31,21.24
1990-09-30,21.22
1990-08-31,21.29
1990-07-31,21.39
1990-06-30,21.36
1990-05-31,21.27
1990-04-30,21.1
1990-03-31,20.93
1990-02-28,20.88
1990-01-31,20.81
1989-12-31,20.86
1989-11-30,20.69
1989-10-31,20.54
1989-09-30,20.43
1989-08-31,20.27
1989-07-31,20.06
1989-06-30,19.88
1989-05-31,19.7
1989-04-30,19.58
1989-03-31,19.48
1989-02-28,19.42
1989-01-31,19.33
1988-12-31,19.21
1988-11-30,19.07
1988-10-31,18.9
1988-09-30,18.79
1988-08-31,18.76
1988-07-31,18.69
1988-06-30,18.61
1988-05-31,18.51
1988-04-30,18.37
1988-03-31,18.28
1988-02-29,18.26
1988-01-31,18.22
1987-12-31,18.17
1987-11-30,18.06
1987-10-31,17.97
1987-09-30,17.92
1987-08-31,17.91
1987-07-31,17.92
1987-06-30,17.86
1987-05-31,17.8
1987-04-30,17.74
1987-03-31,17.7
1987-02-28,17.74
1987-01-31,17.76
