Date,Value
2015-06-30,36161.3
2015-05-31,29728.78
2015-04-30,32205.54
2015-03-31,36088.43
2015-02-28,30731.59
2015-01-31,35011.14
2014-12-31,37196.23
2014-11-30,27884.91
2014-10-31,42977.94
2014-09-30,30512.31
2014-08-31,25226.59
2014-07-31,28450.34
2014-06-30,29047.4
2014-05-31,27032.14
2014-04-30,31110.06
2014-03-31,32215.12
2014-02-28,28946.72
2014-01-31,30435.86
2013-12-31,28064.38
2013-11-30,26360.08
2013-10-31,31926.57
2013-09-30,28841.83
2013-08-31,27994.98
2013-07-31,29081.72
2013-06-30,34898.75
2013-05-31,31778.54
2013-04-30,32465.35
2013-03-31,28920.32
2013-02-28,28085.92
2013-01-31,30786.85
2012-12-31,29039.96
2012-11-30,31456.16
2012-10-31,30330.09
2012-09-30,29638.15
2012-08-31,30895.95
2012-07-31,32469.17
2012-06-30,36141.17
2012-05-31,38624.62
2012-04-30,31769.7
2012-03-31,35854.83
2012-02-29,32647.48
2012-01-31,33474.36
2011-12-31,34940.74
2011-11-30,41170.41
2011-10-31,48677.81
2011-09-30,50242.61
2011-08-31,68469.77
2011-07-31,36999.82
2011-06-30,44064.48
2011-05-31,40474.09
2011-04-30,36577.1
2011-03-31,49229.4
2011-02-28,39472.16
2011-01-31,43939.1
2010-12-31,41133.86
2010-11-30,45600.69
2010-10-31,46084.96
2010-09-30,44615.87
2010-08-31,46739.11
2010-07-31,50603.09
2010-06-30,61301.74
2010-05-31,70261.03
2010-04-30,54731.24
2010-03-31,48956.57
2010-02-28,45004.71
2010-01-31,46112.87
2009-12-31,46299.13
2009-11-30,44267.41
2009-10-31,57627.93
2009-09-30,56606.5
2009-08-31,54669.08
2009-07-31,55041.32
2009-06-30,63655.71
2009-05-31,68082.64
2009-04-30,72874.59
2009-03-31,87578.21
2009-02-28,68812.8
2009-01-31,62678.11
2008-12-31,65710.67
2008-11-30,71695.88
2008-10-31,125005.4
2008-09-30,104814.02
2008-08-31,66051.39
2008-07-31,92300.67
2008-06-30,72942.58
2008-05-31,61762.05
2008-04-30,66259.02
2008-03-31,74691.68
2008-02-29,64995.72
2008-01-31,83147.43
2007-12-31,50727.46
2007-11-30,69681.16
2007-10-31,61653.07
2007-09-30,48828.85
2007-08-31,81355.18
2007-07-31,62896.28
2007-06-30,60681.95
2007-05-31,57714.94
2007-04-30,47886.22
2007-03-31,58751.96
2007-02-28,47090.97
2007-01-31,51377.94
2006-12-31,43085.75
2006-11-30,51321.53
2006-10-31,52152.51
2006-09-30,45750.23
2006-08-31,47733.14
2006-07-31,46915.03
2006-06-30,56806.43
2006-05-31,56570.05
2006-04-30,43892.11
2006-03-31,51693.83
2006-02-28,43373.77
2006-01-31,48837.72
2005-12-31,41581.16
2005-11-30,44284.15
2005-10-31,50103.52
2005-09-30,44491.04
2005-08-31,42287.15
2005-07-31,38240.24
2005-06-30,42684.9
2005-05-31,40376.1
2005-04-30,45297.1
2005-03-31,46317.99
2005-02-28,38493.68
2005-01-31,42585.64
2004-12-31,41649.54
2004-11-30,40456.39
2004-10-31,41416.4
2004-09-30,35733.29
2004-08-31,35131.6
2004-07-31,38831.0
2004-06-30,36534.03
2004-05-31,37947.09
2004-04-30,41232.31
2004-03-31,43768.62
2004-02-29,36208.01
2004-01-31,42672.05
2003-12-31,28065.2
2003-11-30,24572.37
2003-10-31,32891.1
2003-09-30,30171.34
2003-08-31,25207.01
2003-07-31,31924.52
2003-06-30,31842.43
2003-05-31,31261.54
2003-04-30,29876.91
2003-03-31,30224.56
2003-02-28,25391.56
2003-01-31,30969.34
2002-12-31,26204.95
2002-11-30,29087.29
2002-10-31,38060.91
2002-09-30,28180.28
2002-08-31,29510.54
2002-07-31,41498.59
2002-06-30,31739.6
2002-05-31,27152.06
2002-04-30,28760.82
2002-03-31,26742.87
2002-02-28,26254.8
2002-01-31,29943.23
2001-12-31,25506.1
2001-11-30,26671.82
2001-10-31,30228.52
2001-09-30,25416.71
2001-08-31,23590.73
2001-07-31,23878.29
2001-06-30,24674.21
2001-05-31,24568.46
2001-04-30,25529.16
2001-03-31,27970.18
2001-02-28,21631.06
2001-01-31,27844.01
2000-12-31,24175.31
2000-11-30,21700.52
2000-10-31,25972.21
2000-09-30,20825.86
2000-08-31,20379.2
2000-07-31,19076.89
2000-06-30,21703.32
2000-05-31,19919.34
2000-04-30,20140.41
2000-03-31,26182.77
2000-02-29,20917.63
2000-01-31,21484.25
1999-12-31,19669.7
1999-11-30,18343.15
1999-10-31,18831.44
1999-09-30,16447.46
1999-08-31,15818.49
1999-07-31,15359.96
1999-06-30,16126.42
1999-05-31,15949.53
1999-04-30,18518.99
1999-03-31,18002.47
1999-02-28,14549.52
1999-01-31,16234.05
1998-12-31,15241.35
1998-11-30,13501.5
1998-10-31,18549.41
1998-09-30,16727.0
1998-08-31,15099.45
1998-07-31,14188.26
1998-06-30,13585.96
1998-05-31,11524.53
1998-04-30,13688.52
1998-03-31,13722.69
1998-02-28,11726.32
1998-01-31,12189.57
1997-12-31,12032.12
1997-11-30,10252.44
1997-10-31,14031.74
1997-09-30,11428.1
1997-08-31,10634.11
1997-07-31,11996.71
1997-06-30,10925.42
1997-05-31,10131.85
1997-04-30,10486.44
1997-03-31,10031.76
1997-02-28,9738.94
1997-01-31,11622.48
1996-12-31,9094.83
1996-11-30,8939.61
1996-10-31,9703.96
1996-09-30,8077.53
1996-08-31,7377.86
1996-07-31,8812.88
1996-06-30,7926.92
1996-05-31,8910.93
1996-04-30,8861.8
1996-03-31,8985.55
1996-02-29,8754.06
1996-01-31,9190.24
1995-12-31,7721.61
1995-11-30,7575.68
1995-10-31,8033.8
1995-09-30,7055.69
1995-08-31,7128.57
1995-07-31,7302.15
1995-06-30,7535.43
1995-05-31,7558.96
1995-04-30,6306.65
1995-03-31,7829.06
1995-02-28,6334.38
1995-01-31,6835.48
1994-12-31,6346.09
1994-11-30,6253.03
1994-10-31,6369.27
1994-09-30,6157.46
1994-08-31,6398.86
1994-07-31,4977.13
1994-06-30,5836.94
1994-05-31,5666.55
1994-04-30,5365.77
1994-03-31,6862.95
1994-02-28,5831.56
1994-01-31,6629.39
1993-12-31,5778.41
1993-11-30,5866.57
1993-10-31,5936.42
1993-09-30,5522.09
1993-08-31,5495.72
1993-07-31,5303.16
1993-06-30,5531.01
1993-05-31,5101.97
1993-04-30,6204.69
1993-03-31,6131.27
1993-02-28,5465.89
1993-01-31,5311.48
1992-12-31,4888.74
1992-11-30,4154.41
1992-10-31,4468.62
1992-09-30,4019.43
1992-08-31,3647.05
1992-07-31,4273.83
1992-06-30,4296.02
1992-05-31,3666.39
1992-04-30,4319.54
1992-03-31,4081.55
1992-02-29,4292.32
1992-01-31,5267.77
1991-12-31,4155.56
1991-11-30,3726.82
1991-10-31,4084.67
1991-09-30,3246.51
1991-08-31,3772.75
1991-07-31,3457.64
1991-06-30,3259.25
1991-05-31,3741.96
1991-04-30,4011.43
1991-03-31,3900.13
1991-02-28,4272.92
1991-01-31,3636.39
1990-12-31,3109.34
1990-11-30,3148.12
1990-10-31,3670.9
1990-09-30,2685.62
1990-08-31,4014.51
1990-07-31,3370.53
1990-06-30,3226.02
1990-05-31,3597.05
1990-04-30,2801.34
1990-03-31,3284.66
1990-02-28,2962.35
1990-01-31,3794.08
1989-12-31,3213.67
1989-11-30,3031.96
1989-10-31,4012.62
1989-09-30,3035.33
1989-08-31,3948.07
1989-07-31,3250.03
1989-06-30,3967.44
1989-05-31,3748.84
1989-04-30,3238.03
1989-03-31,3503.38
1989-02-28,3217.11
1989-01-31,3532.06
1988-12-31,2844.93
1988-11-30,2822.96
1988-10-31,3415.24
1988-09-30,3059.74
1988-08-31,3327.36
1988-07-31,3338.32
1988-06-30,4306.99
1988-05-31,3232.03
1988-04-30,3260.74
1988-03-31,4052.35
1988-02-29,3693.76
1988-01-31,3495.1
1987-12-31,3927.34
1987-11-30,3590.25
1987-10-31,6094.58
1987-09-30,3723.69
1987-08-31,4063.02
1987-07-31,3967.83
1987-06-30,3594.36
1987-05-31,3417.97
1987-04-30,3929.82
1987-03-31,3965.51
1987-02-28,3386.08
1987-01-31,4040.8
1986-12-31,3261.01
1986-11-30,2940.75
1986-10-31,3016.57
1986-09-30,3167.45
1986-08-31,2701.99
1986-07-31,3029.59
1986-06-30,2649.17
1986-05-31,2680.11
1986-04-30,3239.87
1986-03-31,3215.1
1986-02-28,2899.22
1986-01-31,2879.18
1985-12-31,2802.36
1985-11-30,2445.27
1985-10-31,2543.09
1985-09-30,1860.29
1985-08-31,1924.3
1985-07-31,2462.95
1985-06-30,2117.47
1985-05-31,2350.18
1985-04-30,1982.12
1985-03-31,2154.4
1985-02-28,2194.28
1985-01-31,2673.98
1984-12-31,1780.64
1984-11-30,1757.53
1984-10-31,2108.54
1984-09-30,1769.05
1984-08-31,2527.52
1984-07-31,1603.28
1984-06-30,1804.32
1984-05-31,1939.74
1984-04-30,1717.48
1984-03-31,1855.22
1984-02-29,1932.82
1984-01-31,2215.87
1983-12-31,1848.85
1983-11-30,1814.51
1983-10-31,1794.34
1983-09-30,1740.18
1983-08-31,1706.39
1983-07-31,1590.23
1983-06-30,1974.03
1983-05-31,1953.34
1983-04-30,1792.53
1983-03-31,1902.04
1983-02-28,1615.5
1983-01-31,1857.73
1982-12-31,1682.2
1982-11-30,1857.05
1982-10-31,2068.66
1982-09-30,1547.91
1982-08-31,1672.67
1982-07-31,1145.12
1982-06-30,1110.59
1982-05-31,1026.56
